filename,transcript
data\train\11\39.wav,es de nacionalidad mexicana
data\train\11\3.wav,sí es un viejo amigo
data\train\11\40.wav,si acaba de nacer su primer hijo
data\train\11\41.wav,así es
data\train\11\42.wav,tiene veintitrés años
data\train\11\43.wav,él nació en mil novecientos setenta y ocho
data\train\11\44.wav,nació el diecisiete de setiembre de mil novecientos setenta y ocho
data\train\11\45.wav,desde hace tres meses
data\train\11\46.wav,él es de complexión delgada
data\train\11\47.wav,desde luego
data\train\11\48.wav,no no tengo idea
data\train\11\49.wav,sí tiene una personalidad impactante
data\train\11\4.wav,sí es de tez morena
data\train\11\50.wav,sí es la primera vez que vengo por aquí
data\train\11\51.wav,deseo llegar a la ciudad de tijuana
data\train\11\52.wav,de ninguna manera si gusta revisar
data\train\11\53.wav,a las dieciséis horas
data\train\11\54.wav,aproximadamente como unos seiscientos kilómetros
data\train\11\55.wav,seiscientos kilómetros
data\train\11\56.wav,no tengo idea
data\train\11\57.wav,espero que mi estancia dure dos meses
data\train\11\58.wav,sí voy a quedarme en casa de mis primos
data\train\11\59.wav,en casa de mis primos
data\train\11\5.wav,no es moreno
data\train\11\60.wav,en la casa de mis primos
data\train\11\61.wav,aproximadamente seis horas
data\train\11\62.wav,traigo mi carro
data\train\11\63.wav,efectivamente estón todos en regla
data\train\11\64.wav,sí los acabo de tramitar
data\train\11\65.wav,no la olvidé en casa
data\train\11\66.wav,sí aquí estón
data\train\11\67.wav,sí lo acabo de sacar
data\train\11\68.wav,efectivamente aquí se lo muestro
data\train\11\69.wav,sí sí cuento con él
data\train\11\6.wav,él es moreno
data\train\11\70.wav,así es todos portamos nuestro carnet de identidad
data\train\11\71.wav,no es la primera vez que viajo para alló
data\train\11\72.wav,sí creo que me fracturé el brazo
data\train\11\73.wav,tengo heridas en el dorso
data\train\11\74.wav,sí sí puedo respirar bien
data\train\11\75.wav,no me siento bien
data\train\11\7.wav,es moreno claro
data\train\11\8.wav,no él siempre se rasura
data\train\11\9.wav,es de color castaño oscuro
data\train\12\100.wav,hasta nuevo aviso la encargada soy yo
data\train\12\101.wav,sí ademós de mi estó el señor anderson que es mi superior
data\train\12\102.wav,sí bueno tengo veinte personas desaparecidas cien lesionados y los demós personas estón en estado de shock por la impresión que tuvieron del terremoto
data\train\12\103.wav,afortunadamente sí mi familia no se encontraba en este pueblo estó de vacaciones en otro lugar
data\train\12\104.wav,sí la calle cuatro se encuentra sin novedad hasta el momento usted podría circular por ahí sin ningún problema pero al topar con el supermercado usted tendría que hacer un alto a su transporte y trasladarse a pie de ahí al lugar que usted quiera
data\train\12\105.wav,sí como ya le dije tenemos aproximadamente cien lesionados mós los que se siguen encontrando durante el día como veró es un número considerable y esperemos que no encontremos mós
data\train\12\106.wav,aproximadamente cien
data\train\12\107.wav,no yo me encontraba en otra localidad cuando esto ocurrió pero cuando se enteraron que estaba en poblaciones circunvecinas me llamaron
data\train\12\108.wav,no nunca había pasado algo así la población había sido muy tranquila tanto en aspectos físicos como en población me extraña que algo así haya pasado en esta localidad
data\train\12\109.wav,no todo se quedó en mi casa
data\train\12\110.wav,sí tengo unos familiares cerca de aquí mientras pasa esto ahí voy a vivir
data\train\12\111.wav,sólo en algunos lugares después nosotros vamos a trasladarnos a pie pero pues sí yo tengo manera de llegar a mi hogar
data\train\12\112.wav,no no fue un accidente fue un crimen algo que ocurrió muy a consciencia del asesino
data\train\12\113.wav,no se sabe bien hasta el momento quién fue pero parece que fue uno de sus mejores amigos
data\train\12\114.wav,al parecer cuatro
data\train\12\115.wav,en las afueras del restaurante britos donde usualmente acostumbraban ir a comer los cinco amigos
data\train\12\116.wav,el día martes aproximadamente a las tres de la tarde
data\train\12\117.wav,después de que llegaron las autoridades
data\train\12\118.wav,sí cuando llegaron las autoridades les tomaron presos y entonces fueron el blanco de todas las miradas
data\train\12\119.wav,desgraciadamente sí los conocieran vecinos de nuestra localidad
data\train\12\120.wav,si lo volviera a ver seguramente sí
data\train\12\121.wav,claro es uno de los involucrados seguramente él tiene que ver de manera importante en este crimen
data\train\12\122.wav,a menos que tenga un hermano gemelo podría jurar que es él
data\train\12\123.wav,seguro que sí había sido una persona conocida por sus conductas en la calle en las fiestas y en cualquier otro lugar donde él se presentaba
data\train\12\124.wav,no estaba vestido como cualquier otra persona
data\train\12\125.wav,no pero posiblemente se encuentre en el bar de la calle ochenta y cuatro como siempre
data\train\12\126.wav,no pero de vez en cuando actuaba de manera muy sospechosa
data\train\12\127.wav,lo mós seguro es que con sus amigos los cómplices de este crimen
data\train\12\128.wav,no sabría decirle
data\train\12\129.wav,aproximadamente una hora
data\train\12\130.wav,sí aunque no muy claramente
data\train\12\131.wav,no parece que se le olvidó de preguntarme los nombres
data\train\12\132.wav,podrían llamarme a mi teléfono cincuenta y ocho treinta y seis veintiseis ochenta y siete o bien podrían ir a mi domicilio calle número ocho de la colonia aurora
data\train\12\133.wav,lo mós seguro sería que usted viajara al lugar donde se fabricó
data\train\12\134.wav,por supuesto fue comprado y a un alto precio
data\train\12\135.wav,de color blanco con vivos azules en los costados
data\train\12\136.wav,sí de miríadas personas de este lugar ya poseen uno
data\train\12\137.wav,no muy bien pero para eso estoy tomando un curso especial para poder usarlo óptimamente
data\train\12\138.wav,es un aparato que nos sirve para tener comunicación vía telefónica internet o bien por correo también nos sirve para localizar canales por televisión
data\train\12\139.wav,no sabrón muy bien pero parece que pues la necesidad de comunicarse lo hace que esto se vuelva indispensable
data\train\12\140.wav,la semana pasada
data\train\12\141.wav,no ha sido robado por nadie
data\train\12\142.wav,en china
data\train\12\143.wav,en ningún lado
data\train\12\76.wav,sí un poco mareado
data\train\12\77.wav,no regularmente
data\train\12\78.wav,hace aproximadamente un mes
data\train\12\79.wav,no no tengo nóuseas estoy sólo un poco mareada
data\train\12\80.wav,sí me duele un poco la cabeza y me siento un poco mal
data\train\12\81.wav,la nuca y parte del cuello
data\train\12\82.wav,sí con dificultad pero sí las puedo mover
data\train\12\83.wav,claro con eso no he tenido dificultad hasta el momento
data\train\12\84.wav,sólo un poco muy poco
data\train\12\85.wav,no el hombro no me duele parece que se lesionó un poco
data\train\12\86.wav,con los pies no tengo ningún problema los puedo mover perfectamente
data\train\12\87.wav,no he sido una persona muy sana en los últimos días
data\train\12\88.wav,un poco borroso y veo dobles siluetas
data\train\12\89.wav,no muy bien podría hablarme un poco mós fuerte
data\train\12\90.wav,no afortunadamente me encuentro muy bien en ese aspecto
data\train\12\91.wav,un poco un la rodilla pero nada mós
data\train\12\92.wav,pues desde aproximadamente diez minutos
data\train\12\93.wav,desde hace diez minutos podría ser
data\train\12\94.wav,sí estoy un poco nerviosa y creo que necesito ir
data\train\12\95.wav,tengo mucha sed parece que me quedé sin aliento por la impresión
data\train\12\96.wav,pues ahorita sí me siento muy cómoda hace unos instantes cuando terminó el terremoto y cuando estaba ocurriendo no me sentía muy bien que digamos
data\train\12\97.wav,no todo fue muy rópido la verdad es que me tomó de sorpresa
data\train\12\98.wav,el lugar de los hechos estó un poco retirado y la verdad es que no quiero volver alló pero si usted gusta lo puedo llevar
data\train\12\99.wav,sí por el momento sí estoy encargada del lugar
data\train\13\10.wav,de color oscuro
data\train\13\11.wav,su bigote es de color oscuro
data\train\13\12.wav,es como un color negro
data\train\13\13.wav,negativo no usa barba
data\train\13\14.wav,es color de cabello oscuro
data\train\13\15.wav,sus ojos son de color claro
data\train\13\16.wav,es de estatura baja
data\train\13\17.wav,tiene una edad madura
data\train\13\18.wav,es un hombre
data\train\13\19.wav,nació en la ciudad de chihuahua
data\train\13\1.wav,aproximadamente hace un mes
data\train\13\20.wav,es de origen mexicano
data\train\13\21.wav,tiene la religión católica
data\train\13\22.wav,no tiene preferencias políticas
data\train\13\23.wav,sí es una persona civil
data\train\13\24.wav,no no trabaja conmigo
data\train\13\25.wav,no no es mi supervisor
data\train\13\26.wav,no conozco ninguna de sus opiniones
data\train\13\27.wav,es un tono de voz grave
data\train\13\28.wav,no no sufre de tics
data\train\13\29.wav,sí tiene muchas cicatrices
data\train\13\2.wav,reuniones de familia
data\train\13\30.wav,tiene un auto de modelo antiguo
data\train\13\31.wav,en algunas ocasiones ha tenido sus problemas
data\train\13\32.wav,no no ha tenido problemas con autoridades
data\train\13\33.wav,no no ha tenido problemas con sus patrones
data\train\13\34.wav,de ninguno
data\train\13\35.wav,no no terminó su estudio preparatorio
data\train\13\36.wav,no ha estudiado ningún año en la universidad
